Branch_ID,Dealer_ID,Model_ID,Revenue,Units_Sold,Date_ID,Day,Month,Year,BranchName,DealerName,Product_Name
BR0038,DLR0131,Hon-M71,8074050,2,DT00022,1,5,2017,Alfa Romeo Motors,Mini Motors,Honda
BR0040,DLR0091,Jee-M11,4058632,1,DT00023,7,9,2017,Alfa Romeo Motors,Invicta Motors,Jeep
BR0041,DLR0005,BMW-M5,12322500,3,DT00023,5,1,2017,Alpine Motors,Alpine Motors,BMW
BR0041,DLR0072,Vol-M259,13055810,2,DT00024,12,5,2017,Alpine Motors,Glas Motors,Volkswagen
BR0042,DLR0252,MG-M252,5616461,1,DT00024,9,9,2017,Alpine Motors,Alpine Motors,MG
BR0043,DLR0232,For-M222,18031408,2,DT00025,14,5,2017,Alpine Motors,2008 NRHP-listed,Ford
BR0044,DLR0212,Tat-M192,4061400,3,DT00026,16,1,2017,Alpine Motors,,Tata
BR0045,DLR0192,Hyu-M162,23199300,3,DT00026,20,9,2017,Alpine Motors,Tatra Motors,Hyundai
BR0047,DLR0152,Toy-M102,3120075,1,DT00027,28,8,2017,Alpine Motors,Perodua Motors,Toyota
BR0048,DLR0132,Hyu-M72,11630901,3,DT00028,2,5,2017,Alpine Motors,Mitsubishi Motors,Hyundai
BR0049,DLR0112,Che-M42,28080780,3,DT00028,4,1,2017,Alpine Motors,LTI Motors,Chevrolet
BR0050,DLR0092,Jee-M12,17231670,3,DT00029,8,9,2017,Alpine Motors,Isdera Motors,Jeep
BR0051,DLR0006,Mer-M6,1196976,1,DT00030,6,1,2017,Alvis Motors,Alvis Motors,Mercedes-Benz
BR0051,DLR0073,Vol-M260,2224368,1,DT00031,13,5,2017,Alvis Motors,GMC Motors,Volkswagen
BR0052,DLR0253,Jee-M253,16890826,2,DT00031,10,9,2017,Alvis Motors,Alvis Motors,Jeep
BR0053,DLR0233,For-M223,7422324,1,DT00032,15,5,2017,Alvis Motors,Blankinship Motor Company Building,Ford
BR0054,DLR0213,Tat-M193,5594044,1,DT00032,17,1,2017,Alvis Motors,DKW Motors,Tata
BR0055,DLR0193,Hyu-M163,309955,1,DT00033,21,9,2017,Alvis Motors,Tazzari Motors,Hyundai
BR0057,DLR0153,Toy-M103,3735254,2,DT00033,29,8,2017,Alvis Motors,Peugeot Motors,Toyota
BR0058,DLR0133,Hyu-M73,8736224,1,DT00034,3,5,2017,Alvis Motors,Monica Motors,Hyundai
BR0059,DLR0113,Che-M43,29476512,3,DT00034,5,1,2017,Alvis Motors,LuAZ Motors,Chevrolet
BR0060,DLR0093,Jee-M13,2824317,1,DT00035,9,9,2017,Alvis Motors,Iso Motors,Jeep
BR0061,DLR0007,Mer-M7,28254609,3,DT00035,7,1,2017,"AMC, Eagle Motors","AMC, Eagle Motors",Mercedes-Benz
BR0061,DLR0074,Nis-M261,11270580,3,DT00036,14,5,2017,"AMC, Eagle Motors",GTA Spano Motors,Nissan
BR0064,DLR0214,Tat-M194,6429308,1,DT00037,18,1,2017,"AMC, Eagle Motors",Horch Motors,Tata
BR0065,DLR0194,Hyu-M164,9045495,3,DT00038,22,9,2017,"AMC, Eagle Motors",Tesla Motors,Hyundai
BR0066,DLR0169,Ren-M129,693559,1,DT00038,21,5,2017,Acura Motors,SAIC Motor Motors,Renault
BR0067,DLR0154,Toy-M104,26303979,3,DT00039,30,8,2017,"AMC, Eagle Motors",PGO Motors,Toyota
BR0068,DLR0134,Hyu-M74,5305198,2,DT00039,4,5,2017,"AMC, Eagle Motors",Monteverdi Motors,Hyundai
BR0069,DLR0114,Che-M44,6723250,1,DT00040,6,1,2017,"AMC, Eagle Motors",Lynx Motors,Chevrolet
BR0070,DLR0094,Ram-M14,5887052,2,DT00040,10,9,2017,"AMC, Eagle Motors",Isotta Fraschini Motors,Ram
BR0071,DLR0008,Mer-M8,6083151,1,DT00042,8,1,2017,Anadol Motors,Anadol Motors,Mercedes-Benz
BR0071,DLR0075,Nis-M262,18784710,3,DT00042,15,5,2017,Anadol Motors,Gumpert Motors,Nissan
BR0072,DLR0255,Vol-M255,5289426,2,DT00043,12,9,2017,Anadol Motors,Anadol Motors,Volkswagen
BR0073,DLR0235,For-M225,4014205,1,DT00044,17,5,2017,Anadol Motors,Buick Automobile Company Building,Ford
BR0074,DLR0215,Toy-M195,3163004,2,DT00045,19,1,2017,Anadol Motors,Wanderer Motors,Toyota
BR0075,DLR0195,Mah-M165,21878175,3,DT00046,23,9,2017,Anadol Motors,Tornado Motors,Mahindra
BR0077,DLR0155,Toy-M105,9867107,1,DT00046,31,8,2017,Anadol Motors,Piaggio Motors,Toyota
BR0078,DLR0135,Hyu-M75,4583883,3,DT00047,5,5,2017,Anadol Motors,Morgan Motors,Hyundai
BR0080,DLR0095,Ram-M15,14383990,2,DT00048,11,9,2017,Anadol Motors,Isuzu Motors,Ram
BR0081,DLR0009,Dod-M9,24665256,3,DT00048,9,1,2017,Ariel Motors,Ariel Motors,Dodge
BR0081,DLR0076,Nis-M263,2354637,3,DT00049,16,5,2017,Ariel Motors,Healey Motors,Nissan
BR0082,DLR0256,Vol-M256,2563134,3,DT00049,13,9,2017,Ariel Motors,Ariel Motors,Volkswagen
BR0083,DLR0236,For-M226,5756780,1,DT00050,18,5,2017,Ariel Motors,Cadillac Automobile Company Building,Ford
BR0084,DLR0216,Toy-M196,4317585,1,DT00050,20,1,2017,Ariel Motors,Maybach  Motors,Toyota
BR0085,DLR0196,Mah-M166,11402294,2,DT00051,24,9,2017,Ariel Motors,Toyota Motors,Mahindra
BR0087,DLR0156,Toy-M106,17859966,3,DT00051,1,9,2017,Ariel Motors,Plymouth Motors,Toyota
BR0089,DLR0116,Che-M46,25901943,3,DT00052,8,1,2017,Ariel Motors,Marcos Motors,Chevrolet
BR0090,DLR0096,For-M16,299478,1,DT00053,12,9,2017,Ariel Motors,Iveco Motors,Ford
BR0092,DLR0257,Vol-M257,11502266,2,DT00054,14,9,2017,ARO Motors,ARO Motors,Volkswagen
BR0094,DLR0217,Toy-M197,4961142,3,DT00054,21,1,2017,ARO Motors,Izh  Motors,Toyota
BR0095,DLR0197,Mah-M167,6061880,1,DT00055,25,9,2017,ARO Motors,Toyota India Motors,Mahindra
BR0098,DLR0137,Kia-M77,18863226,3,DT00056,7,5,2017,ARO Motors,Nash Motors,Kia
BR0101,DLR0011,Jee-M11,8534145,3,DT00056,11,1,2017,Artega Motors,Artega Motors,Jeep
BR0102,DLR0258,Vol-M258,12618398,2,DT00057,15,9,2017,Artega Motors,,Volkswagen
BR0103,DLR0238,Aud-M228,22293669,3,DT00057,20,5,2017,Artega Motors,Cass Motor Sales,Audi
BR0104,DLR0218,Toy-M198,1994377,1,DT00058,22,1,2017,Artega Motors,Lagonda  Motors,Toyota
BR0108,DLR0138,Kia-M78,11722286,2,DT00059,8,5,2017,Artega Motors,Naza Motors,Kia
BR0111,DLR0012,Jee-M12,24760575,3,DT00060,12,1,2017,Asia Motors Motors,Asia Motors Motors,Jeep
BR0112,DLR0259,Vol-M259,10732148,2,DT00060,16,9,2017,Asia Motors Motors,Asia Motors Motors,Volkswagen
BR0114,DLR0219,Toy-M199,7666706,1,DT00061,23,1,2017,Asia Motors Motors,MG  Motors,Toyota
BR0115,DLR0199,Mah-M169,675100,2,DT00062,27,9,2017,Asia Motors Motors,TVR Motors,Mahindra
BR0117,DLR0159,Vol-M109,2968140,3,DT00062,4,9,2017,Asia Motors Motors,Porsche Motors,Volkswagen
BR0118,DLR0139,Inf-M79,8885904,3,DT00063,9,5,2017,Asia Motors Motors,Nissan Motors,Infiniti
BR0119,DLR0119,Che-M49,21885834,3,DT00063,11,1,2017,Asia Motors Motors,Maserati Motors,Chevrolet
BR0120,DLR0099,For-M19,8169852,1,DT00064,15,9,2017,Asia Motors Motors,Jensen Motors,Ford
BR0121,DLR0013,Jee-M13,3450696,1,DT00065,13,1,2017,Aston Martin Motors,Aston Martin Motors,Jeep
BR0121,DLR0080,Nis-M267,5421046,2,DT00065,20,5,2017,Aston Martin Motors,Hindustan Motors,Nissan
BR0122,DLR0260,Vol-M260,10113618,3,DT00066,17,9,2017,Aston Martin Motors,Aston Martin Motors,Volkswagen
BR0123,DLR0240,Aud-M230,3382344,2,DT00066,22,5,2017,Aston Martin Motors,Clemens Automobile Company Building,Audi
BR0125,DLR0200,Mah-M170,21087120,3,DT00067,28,9,2017,Aston Martin Motors,UAZ Motors,Mahindra
BR0126,DLR0170,Ren-M130,8445560,2,DT00067,22,5,2017,Aixam-Mega (including Arola) Motors,Saleen Motors,Renault
BR0127,DLR0160,Vol-M110,20375646,3,DT00068,5,9,2017,Aston Martin Motors,Premier Motors,Volvo
BR0128,DLR0140,Nis-M80,5608551,3,DT00069,10,5,2017,Aston Martin Motors,Nissan India Motors,Nissan
BR0129,DLR0120,Che-M50,15086781,3,DT00069,12,1,2017,Aston Martin Motors,Mastretta Motors,Chevrolet
BR0130,DLR0100,For-M20,3852248,1,DT00070,16,9,2017,Aston Martin Motors,JPX Motors,Ford
BR0131,DLR0081,Nis-M268,28034733,3,DT00071,21,5,2017,Audi Motors,Holden Motors,Nissan
BR0135,DLR0201,Mah-M171,6932140,1,DT00071,29,9,2017,Audi Motors,Vauxhall Motors,Mahindra
BR0138,DLR0141,Nis-M81,2279715,3,DT00072,11,5,2017,Audi Motors,Noble Motors,Nissan
BR0139,DLR0121,Che-M51,15082984,2,DT00072,13,1,2017,Audi Motors,"Matra (including Deutsch-Bonnet, René Bonnet) Motors",Chevrolet
BR0140,DLR0101,For-M21,1614954,3,DT00073,17,9,2017,Audi Motors,Kia Motors,Ford
BR0141,DLR0082,Nis-M269,17522592,2,DT00073,22,5,2017,Autobianchi Motors,Honda Motors,Nissan
BR0143,DLR0242,Aud-M232,15425984,2,DT00074,24,5,2017,Autobianchi Motors,H Street Playhouse,Audi
BR0144,DLR0222,Toy-M202,6200183,1,DT00074,26,1,2017,Autobianchi Motors,Riley  Motors,Toyota
BR0145,DLR0202,Mah-M172,9216580,2,DT00075,30,9,2017,Autobianchi Motors,Venturi Motors,Mahindra
BR0151,DLR0016,For-M16,20974905,3,DT00076,16,1,2017,Auto-Union Motors,Auto-Union Motors,Ford
BR0151,DLR0083,Nis-M270,25901364,3,DT00076,23,5,2017,Auto-Union Motors,Honda India Motors,Nissan
BR0152,DLR0263,Nis-M263,13123846,2,DT00078,20,9,2017,Auto-Union Motors,Auto-Union Motors,Nissan
BR0153,DLR0243,Aud-M233,7178971,1,DT00078,25,5,2017,Auto-Union Motors,Howard Motor Company Building,Audi
BR0154,DLR0223,Toy-M203,10761116,2,DT00079,27,1,2017,Auto-Union Motors,Wolseley  Motors,Toyota
BR0158,DLR0143,Nis-M83,13220313,3,DT00079,13,5,2017,Auto-Union Motors,Oldsmobile Motors,Nissan
BR0159,DLR0123,GMC-M53,2964017,1,DT00080,15,1,2017,Auto-Union Motors,Mazzanti Motors,GMC
BR0160,DLR0103,For-M23,19987149,3,DT00080,19,9,2017,Auto-Union Motors,KTM Motors,Ford
BR0161,DLR0017,For-M17,2221530,1,DT00081,17,1,2017,Auverland Motors,Auverland Motors,Ford
BR0163,DLR0244,Aud-M234,3751186,1,DT00082,26,5,2017,Auverland Motors,Hupmobile Building,Audi
BR0164,DLR0224,Toy-M204,4376587,1,DT00082,28,1,2017,Auverland Motors,Standard  Motors,Toyota
BR0165,DLR0204,Mah-M174,281016,2,DT00083,2,10,2017,Auverland Motors,Volkswagen do Brasil Motors,Mahindra
BR0168,DLR0144,Nis-M84,19669918,2,DT00084,14,5,2017,Auverland Motors,,Nissan
BR0169,DLR0124,GMC-M54,25546332,3,DT00085,16,1,2017,Auverland Motors,McLaren Motors,GMC
BR0170,DLR0104,For-M24,288894,1,DT00086,20,9,2017,Auverland Motors,Lada Motors,Ford
BR0171,DLR0018,For-M18,11329482,3,DT00086,18,1,2017,Bentley Motors,Bentley Motors,Ford
BR0172,DLR0265,Nis-M265,18898203,3,DT00087,22,9,2017,Bentley Motors,Bentley Motors,Nissan
BR0173,DLR0245,Aud-M235,8140664,2,DT00087,27,5,2017,Bentley Motors,Jennings Ford Automobile Dealership,Audi
BR0175,DLR0205,Mah-M175,12526704,2,DT00088,3,10,2017,Bentley Motors,Volkswagen South Africa Motors,Mahindra
BR0179,DLR0125,GMC-M55,9626946,1,DT00088,17,1,2017,Bentley Motors,Mercedes-Benz (including Maybach) Motors,GMC
BR0180,DLR0105,For-M25,8308755,3,DT00089,21,9,2017,Bentley Motors,Lamborghini Motors,Ford
BR0181,DLR0019,For-M19,7053423,3,DT00089,19,1,2017,Bitter Motors,Bitter Motors,Ford
BR0181,DLR0086,Sko-M273,7915343,1,DT00090,26,5,2017,Bitter Motors,Hummer Motors,Skoda
BR0182,DLR0266,Nis-M266,5868139,1,DT00090,23,9,2017,Bitter Motors,Bitter Motors,Nissan
BR0183,DLR0246,Aud-M236,340182,2,DT00091,28,5,2017,Bitter Motors,Jones Motor Company,Audi
BR0185,DLR0206,Mah-M176,2861778,2,DT00091,4,10,2017,Bitter Motors,Volvo Motors,Mahindra
BR0186,DLR0171,Ren-M131,7078128,1,DT00092,23,5,2017,Alfa Romeo Motors,Samsung Motors,Renault
BR0188,DLR0146,Nis-M86,4681233,1,DT00092,16,5,2017,Bitter Motors,Packard Motors,Nissan
BR0189,DLR0126,GMC-M56,9127452,3,DT00093,18,1,2017,Bitter Motors,Mercury Motors,GMC
BR0191,DLR0020,For-M20,28232232,3,DT00093,20,1,2017,BMW Motors,BMW Motors,Ford
BR0191,DLR0087,Sko-M274,24183663,3,DT00094,27,5,2017,BMW Motors,Hyundai Motors,Skoda
BR0192,DLR0267,Nis-M267,4579461,3,DT00094,24,9,2017,BMW Motors,BMW Motors,Nissan
BR0193,DLR0247,Aud-M237,11559954,3,DT00095,29,5,2017,BMW Motors,Kindel Building,Audi
BR0194,DLR0227,Ren-M207,6535383,3,DT00095,31,1,2017,BMW Motors,Ramani Motors,Renault
BR0195,DLR0207,Mah-M177,4392538,2,DT00096,5,10,2017,BMW Motors,Westfield Motors,Mahindra
BR0197,DLR0167,Fia-M117,725867,1,DT00097,12,9,2017,BMW Motors,Rolls-Royce Motors,Fiat
BR0198,DLR0147,Nis-M87,2827664,2,DT00097,17,5,2017,BMW Motors,Pagani Motors,Nissan
BR0199,DLR0127,GMC-M57,9689140,1,DT00098,19,1,2017,BMW Motors,Merkur Motors,GMC
BR0200,DLR0107,Lin-M27,16533070,2,DT00098,23,9,2017,BMW Motors,Land Rover Motors,Lincoln
BR0201,DLR0088,Mit-M275,847952,2,DT00099,28,5,2017,Bond Motors,"IFA (including Trabant, Wartburg, Barkas) Motors",Mitsubishi
BR0202,DLR0001,Nis-M268,12224250,2,DT00099,25,9,2017,Bond Motors,AC Cars Motors,Nissan
BR0203,DLR0248,Aud-M238,8711628,3,DT00101,30,5,2017,Bond Motors,AC Cars Motors,Audi
BR0204,DLR0228,Ren-M208,20604021,3,DT00102,1,2,2017,Bond Motors,Deccan Motors,Renault
BR0205,DLR0208,Mah-M178,22278675,3,DT00103,6,10,2017,Bond Motors,Wiesmann Motors,Mahindra
BR0208,DLR0148,Nis-M88,8383410,1,DT00103,18,5,2017,Bond Motors,Panhard Motors,Nissan
BR0211,DLR0022,For-M22,5440414,1,DT00105,22,1,2017,Borgward (including Goliath and Lloyd) Motors,Borgward (including Goliath and Lloyd) Motors,Ford
BR0211,DLR0089,Mit-M276,2887860,1,DT00105,29,5,2017,Borgward (including Goliath and Lloyd) Motors,Infiniti Motors,Mitsubishi
BR0212,DLR0002,Nis-M269,9621332,2,DT00106,26,9,2017,Borgward (including Goliath and Lloyd) Motors,Acura Motors,Nissan
BR0213,DLR0249,Aud-M239,9894833,1,DT00106,31,5,2017,Borgward (including Goliath and Lloyd) Motors,Acura Motors,Audi
BR0214,DLR0229,Ren-M209,7758912,1,DT00107,2,2,2017,Borgward (including Goliath and Lloyd) Motors,Herald Motors,Renault
BR0215,DLR0209,Tat-M179,11540160,2,DT00108,7,10,2017,Borgward (including Goliath and Lloyd) Motors,Zastava Motors,Tata
BR0217,DLR0169,For-M119,10376068,2,DT00108,14,9,2017,Borgward (including Goliath and Lloyd) Motors,SAIC Motor Motors,Ford
BR0218,DLR0149,Nis-M89,10046163,3,DT00110,19,5,2017,Borgward (including Goliath and Lloyd) Motors,Panoz Motors,Nissan
BR0219,DLR0129,Acu-M59,9612233,1,DT00111,21,1,2017,Borgward (including Goliath and Lloyd) Motors,Mia Motors,Acura
BR0220,DLR0109,Lin-M29,4380192,2,DT00111,25,9,2017,Borgward (including Goliath and Lloyd) Motors,Ligier Motors,Lincoln
BR0221,DLR0023,For-M23,4988693,1,DT00112,23,1,2017,Bristol Motors,Bristol Motors,Ford
BR0221,DLR0090,Mit-M277,24243636,3,DT00112,30,5,2017,Bristol Motors,,Mitsubishi
BR0222,DLR0003,Nis-M270,15758858,2,DT00113,27,9,2017,Bristol Motors,Aixam-Mega (including Arola) Motors,Nissan
BR0223,DLR0250,Aud-M240,4437937,1,DT00113,1,6,2017,Bristol Motors,Aixam-Mega (including Arola) Motors,Audi
BR0224,DLR0230,Ren-M210,12531735,3,DT00114,3,2,2017,Bristol Motors,Zion Automobils,Renault
BR0225,DLR0210,Tat-M180,17781882,3,DT00115,8,10,2017,Bristol Motors,ZAZ Motors,Tata
BR0227,DLR0170,Hon-M120,18432684,2,DT00116,15,9,2017,Bristol Motors,Saleen Motors,Honda
BR0228,DLR0150,Riv-M90,7783188,2,DT00117,20,5,2017,Bristol Motors,Panther Motors,Rivian
BR0229,DLR0130,Acu-M60,27840693,3,DT00118,22,1,2017,Bristol Motors,Micro Motors,Acura
BR0230,DLR0110,Lin-M30,27170463,3,DT00118,26,9,2017,Bristol Motors,Lincoln Motors,Lincoln
BR0231,DLR0024,For-M24,7900452,1,DT00119,24,1,2017,British Leyland Motors,British Leyland Motors,Ford
BR0232,DLR0004,Sko-M271,889446,3,DT00119,28,9,2017,British Leyland Motors,Alfa Romeo Motors,Skoda
BR0234,DLR0231,Ren-M211,29018226,3,DT00120,4,2,2017,British Leyland Motors,Atlantic Motor Company,Renault
BR0235,DLR0211,Tat-M181,19005264,2,DT00121,9,10,2017,British Leyland Motors,ZIL Motors,Tata
BR0237,DLR0171,Mer-M121,1862934,2,DT00122,16,9,2017,British Leyland Motors,Samsung Motors,Mercedes-Benz
BR0239,DLR0131,Acu-M61,7440984,1,DT00123,23,1,2017,British Leyland Motors,Mini Motors,Acura
BR0240,DLR0111,Bui-M31,6945984,3,DT00124,27,9,2017,British Leyland Motors,Lotus Motors,Buick
BR0243,DLR0252,BMW-M242,9296322,3,DT00124,3,6,2017,Austin-Healey Motors,Alpine Motors,BMW
BR0247,DLR0172,Mer-M122,29679627,3,DT00125,17,9,2017,Austin-Healey Motors,San Motors,Mercedes-Benz
BR0249,DLR0132,Acu-M62,6718044,3,DT00126,24,1,2017,Austin-Healey Motors,Mitsubishi Motors,Acura
BR0251,DLR0026,For-M26,6866014,2,DT00126,26,1,2017,"Austin, Rover Motors","Austin, Rover Motors",Ford
BR0252,DLR0006,Sko-M273,4256874,2,DT00127,30,9,2017,"Austin, Rover Motors",Alvis Motors,Skoda
BR0253,DLR0253,BMW-M243,6905276,2,DT00127,4,6,2017,"Austin, Rover Motors",Alvis Motors,BMW
BR0254,DLR0233,Kia-M213,13383333,3,DT00129,6,2,2017,"Austin, Rover Motors",Blankinship Motor Company Building,Kia
BR0255,DLR0213,Tat-M183,7421974,1,DT00130,11,10,2017,"Austin, Rover Motors",DKW Motors,Tata
BR0260,DLR0113,Cad-M33,9343340,1,DT00130,29,9,2017,"Austin, Rover Motors",LuAZ Motors,Cadillac
BR0262,DLR0007,Sko-M274,2574816,2,DT00131,1,10,2017,Bugatti Motors,"AMC, Eagle Motors",Skoda
BR0264,DLR0234,Kia-M214,6457305,1,DT00132,7,2,2017,Bugatti Motors,Bohn Motor Company Automobile Dealership,Kia
BR0265,DLR0214,Tat-M184,1879880,2,DT00133,12,10,2017,Bugatti Motors,Horch Motors,Tata
BR0267,DLR0174,Peu-M124,5701857,3,DT00133,19,9,2017,Bugatti Motors,Santana Motors,Peugeot
BR0268,DLR0154,Sub-M94,8615017,1,DT00134,24,5,2017,Bugatti Motors,PGO Motors,Subaru
BR0269,DLR0134,Hon-M64,5905112,2,DT00135,26,1,2017,Bugatti Motors,Monteverdi Motors,Honda
BR0270,DLR0114,Cad-M34,6196108,1,DT00136,30,9,2017,Bugatti Motors,Lynx Motors,Cadillac
BR0271,DLR0028,Lin-M28,6197509,1,DT00136,28,1,2017,Buick Motors,Buick Motors,Lincoln
BR0272,DLR0008,Mit-M275,9190640,1,DT00137,2,10,2017,Buick Motors,Anadol Motors,Mitsubishi
BR0274,DLR0235,Hon-M215,376922,2,DT00138,8,2,2017,Buick Motors,Buick Automobile Company Building,Honda
BR0275,DLR0215,Tat-M185,14143208,2,DT00138,13,10,2017,Buick Motors,Wanderer Motors,Tata
BR0277,DLR0175,Peu-M125,6271023,3,DT00140,20,9,2017,Buick Motors,Saturn Motors,Peugeot
BR0278,DLR0155,Sub-M95,8648235,3,DT00140,25,5,2017,Buick Motors,Piaggio Motors,Subaru
BR0279,DLR0135,Hon-M65,16914626,2,DT00141,27,1,2017,Buick Motors,Morgan Motors,Honda
BR0280,DLR0115,Cad-M35,4403793,1,DT00141,1,10,2017,Buick Motors,Mahindra Motors,Cadillac
BR0283,DLR0256,BMW-M246,572727,1,DT00142,7,6,2017,Bytom Motors,Ariel Motors,BMW
BR0285,DLR0216,Tat-M186,7802484,1,DT00142,14,10,2017,Bytom Motors,Maybach  Motors,Tata
BR0290,DLR0116,Cad-M36,14184207,3,DT00143,2,10,2017,Bytom Motors,Marcos Motors,Cadillac
BR0291,DLR0030,Lin-M30,16295156,2,DT00143,30,1,2017,Cadillac Motors,Cadillac Motors,Lincoln
BR0293,DLR0257,BMW-M247,8268754,1,DT00144,8,6,2017,Cadillac Motors,ARO Motors,BMW
BR0294,DLR0237,Hon-M217,14099240,2,DT00144,10,2,2017,Cadillac Motors,Casa de cadillac,Honda
BR0295,DLR0217,Tat-M187,7235826,3,DT00146,15,10,2017,Cadillac Motors,Izh  Motors,Tata
BR0297,DLR0177,Ren-M127,2855670,3,DT00146,22,9,2017,Cadillac Motors,Seat Motors,Renault
BR0298,DLR0157,Tes-M97,7398132,2,DT00147,27,5,2017,Cadillac Motors,Polestar Motors,Tesla
BR0299,DLR0137,Hon-M67,4836812,2,DT00147,29,1,2017,Cadillac Motors,Nash Motors,Honda
BR0300,DLR0117,Cad-M37,7963904,1,DT00148,3,10,2017,Cadillac Motors,Marlin Motors,Cadillac
BR0301,DLR0031,Bui-M31,6873658,1,DT00148,31,1,2017,Caterham Motors,Caterham Motors,Buick
BR0302,DLR0011,BMW-M1,4701994,2,DT00150,5,10,2017,Caterham Motors,Artega Motors,BMW
BR0303,DLR0258,BMW-M248,25066332,3,DT00150,9,6,2017,Caterham Motors,,BMW
BR0304,DLR0238,Hon-M218,8881946,2,DT00151,11,2,2017,Caterham Motors,Cass Motor Sales,Honda
BR0305,DLR0218,Tat-M188,17758347,3,DT00152,16,10,2017,Caterham Motors,Lagonda  Motors,Tata
BR0306,DLR0173,Toy-M133,12612492,3,DT00153,25,5,2017,Alvis Motors,Santa Matilde Motors,Toyota
BR0308,DLR0158,Tes-M98,18183694,2,DT00154,28,5,2017,Caterham Motors,"Pontiac, Asüna Motors",Tesla
BR0309,DLR0138,Hon-M68,27140604,3,DT00155,30,1,2017,Caterham Motors,Naza Motors,Honda
BR0310,DLR0118,Cad-M38,1669181,1,DT00156,4,10,2017,Caterham Motors,Maruti Motors,Cadillac
BR0311,DLR0032,Cad-M32,5221738,1,DT00157,1,2,2017,Checker Motors,Checker Motors,Cadillac
BR0313,DLR0259,BMW-M249,11080864,2,DT00157,10,6,2017,Checker Motors,Asia Motors Motors,BMW
BR0315,DLR0219,Tat-M189,1458843,3,DT00158,17,10,2017,Checker Motors,MG  Motors,Tata
